design,inquiry,estimator,outcome,term,clusters_treat,effect,diagnosand,estimate,std.error,conf.low,conf.high
design_8,ATE,LM,Y,Z,40,0.3,mean_estimate,0.17751999999999934,0.008758324491405008,0.15926333333333267,0.1933764999999992
design_8,ATE,LM,Y,Z,40,0.3,bias,0.01279586206896485,0.009031208711988339,-0.004259425287356986,0.02945035057471187
design_8,ATE,LM,Y,Z,40,0.3,sd_estimate,0.09319740366224094,0.0060828051161032504,0.07994106631454641,0.10327221181755555
design_8,ATE,LM,Y,Z,40,0.3,rmse,0.09351580023528153,0.006696304788637272,0.08008487469746636,0.10364005445639421
design_8,ATE,LM,Y,Z,40,0.3,power,0.89,0.027984663909745543,0.84,0.94
design_8,ATE,LM,Y,Z,40,0.3,coverage,0.62,0.04233715086580986,0.54,0.71
design_8,ATE,PSM ATE,Y,Z,40,0.3,mean_estimand,0.1647241379310345,0.0018771873263940557,0.16102758620689656,0.16867844827586206
design_8,ATE,PSM ATE,Y,Z,40,0.3,mean_estimate,0.1754800000000007,0.009454187564753563,0.15571066666666716,0.1915970000000008
design_8,ATE,PSM ATE,Y,Z,40,0.3,bias,0.010755862068966206,0.009634284767730587,-0.007831218390804133,0.02667634482758701
design_8,ATE,PSM ATE,Y,Z,40,0.3,sd_estimate,0.09792915646397878,0.006841648436535569,0.08281278833312776,0.1067816439688592
design_8,ATE,PSM ATE,Y,Z,40,0.3,rmse,0.09804826548649184,0.006917046080770821,0.08456294265402761,0.10735449421877136
design_8,ATE,PSM ATE,Y,Z,40,0.3,power,0.87,0.0356265704952431,0.79,0.93
design_8,ATE,PSM ATE,Y,Z,40,0.3,coverage,0.66,0.04452487671476077,0.58475,0.74525
design_9,ATE,LM,Y,Z,60,0.3,mean_estimand,0.1640344827586207,0.002152244168821536,0.16056293103448277,0.16831379310344827
design_9,ATE,LM,Y,Z,60,0.3,mean_estimate,0.1655733333333327,0.007811238461539234,0.1508624999999995,0.18074449999999948
design_9,ATE,LM,Y,Z,60,0.3,bias,0.001538850574712035,0.007823725250942491,-0.013050431034483246,0.016801948275861428
design_9,ATE,LM,Y,Z,60,0.3,sd_estimate,0.0814723942285012,0.004877261391212472,0.07017897855682614,0.0887261058752142
design_9,ATE,LM,Y,Z,60,0.3,rmse,0.08186665711286698,0.005170268708571087,0.07068518971557433,0.09105720772776094
design_9,ATE,LM,Y,Z,60,0.3,power,0.86,0.03510604425785315,0.7995000000000001,0.9352499999999999
design_9,ATE,LM,Y,Z,60,0.3,coverage,0.63,0.04669436407494631,0.5347500000000001,0.7152499999999999
design_9,ATE,PSM ATE,Y,Z,60,0.3,mean_estimand,0.1640344827586207,0.002152244168821536,0.16056293103448277,0.16831379310344827
design_9,ATE,PSM ATE,Y,Z,60,0.3,mean_estimate,0.16454666666666726,0.00893993421237886,0.14981733333333383,0.18348333333333405
design_9,ATE,PSM ATE,Y,Z,60,0.3,bias,5.121839080465787e-4,0.009044975105919579,-0.013377942528735115,0.019450298850575427
design_9,ATE,PSM ATE,Y,Z,60,0.3,sd_estimate,0.09489867619195484,0.006214387300756567,0.08274213298763504,0.10639716740453002
design_9,ATE,PSM ATE,Y,Z,60,0.3,rmse,0.09513917193909831,0.005756665991448492,0.08370762207906429,0.10666397861396223
design_9,ATE,PSM ATE,Y,Z,60,0.3,power,0.79,0.040364375732603965,0.72,0.8804999999999998
design_9,ATE,PSM ATE,Y,Z,60,0.3,coverage,0.61,0.04953276642279279,0.51475,0.7104999999999998
design_10,ATE,LM,Y,Z,20,0.4,mean_estimand,0.2213448275862069,0.0023416232690132532,0.21768275862068964,0.22593275862068968
design_10,ATE,LM,Y,Z,20,0.4,mean_estimate,0.20409999999999928,0.008802453860505573,0.1871163333333327,0.22189649999999922
design_10,ATE,LM,Y,Z,20,0.4,bias,-0.017244827586207614,0.009016873752174304,-0.03632806321839145,-5.947183908053648e-4
design_10,ATE,LM,Y,Z,20,0.4,sd_estimate,0.09494048581802403,0.005544464282725532,0.08566063673058306,0.1045886503368875
design_10,ATE,LM,Y,Z,20,0.4,rmse,0.09367631062272502,0.0063194599409205,0.08325042186232477,0.10531977740057596
design_10,ATE,LM,Y,Z,20,0.4,power,0.87,0.03414822118501944,0.8,0.9452499999999999
design_10,ATE,LM,Y,Z,20,0.4,coverage,0.55,0.04956375345517787,0.44475000000000003,0.6352499999999999
design_10,ATE,PSM ATE,Y,Z,20,0.4,mean_estimand,0.2213448275862069,0.0023416232690132532,0.21768275862068964,0.22593275862068968
design_10,ATE,PSM ATE,Y,Z,20,0.4,mean_estimate,0.20000000000000076,0.009422838882050505,0.1816603333333341,0.2158640000000009
design_10,ATE,PSM ATE,Y,Z,20,0.4,bias,-0.021344827586206136,0.009706157441046963,-0.04176490804597632,-0.00690719540229804
design_10,ATE,PSM ATE,Y,Z,20,0.4,sd_estimate,0.10321311568924121,0.006350421685028585,0.09053985905792777,0.11412145069233973
design_10,ATE,PSM ATE,Y,Z,20,0.4,rmse,0.10331388982556616,0.006696907065733671,0.09157221621040407,0.11813965891611543
design_10,ATE,PSM ATE,Y,Z,20,0.4,power,0.86,0.03141189377778855,0.81,0.9152499999999999
design_10,ATE,PSM ATE,Y,Z,20,0.4,coverage,0.57,0.05555695957821808,0.45475000000000004,0.68
design_11,ATE,LM,Y,Z,40,0.4,mean_estimand,0.22131034482758621,0.0018923336139390825,0.2176008620689655,0.2250344827586207
design_11,ATE,LM,Y,Z,40,0.4,mean_estimate,0.2336333333333326,0.007018329101110343,0.2200618333333327,0.24532933333333246
design_11,ATE,LM,Y,Z,40,0.4,bias,0.0123229885057464,0.00726356826868223,-9.359425287363496e-4,0.024366632183907194
design_11,ATE,LM,Y,Z,40,0.4,sd_estimate,0.07581911103543894,0.005074176668247271,0.0641132849886991,0.08474214130959062
design_11,ATE,LM,Y,Z,40,0.4,rmse,0.07842993889517573,0.004802891791832056,0.06893897530800058,0.0874918291226236
design_11,ATE,LM,Y,Z,40,0.4,power,0.99,0.010199524647271715,0.97,1
design_11,ATE,LM,Y,Z,40,0.4,coverage,0.62,0.05253185661668508,0.5347500000000001,0.73525
design_11,ATE,PSM ATE,Y,Z,40,0.4,mean_estimand,0.22131034482758621,0.0018923336139390825,0.2176008620689655,0.2250344827586207
design_11,ATE,PSM ATE,Y,Z,40,0.4,mean_estimate,0.2256800000000007,0.007386505588441747,0.21201800000000073,0.23877366666666744
design_11,ATE,PSM ATE,Y,Z,40,0.4,bias,0.004369655172414511,0.007675922946414918,-0.009032149425286701,0.01802612643678226
design_11,ATE,PSM ATE,Y,Z,40,0.4,sd_estimate,0.0814524975692545,0.005616876607602671,0.07110254699655413,0.09193248518949099
design_11,ATE,PSM ATE,Y,Z,40,0.4,rmse,0.08400511016296526,0.005947626781483752,0.07278695151275497,0.09567663943635067
design_11,ATE,PSM ATE,Y,Z,40,0.4,power,0.96,0.019750719204396305,0.9247500000000001,0.99525
design_11,ATE,PSM ATE,Y,Z,40,0.4,coverage,0.68,0.05021167315686782,0.58475,0.77
design_12,ATE,LM,Y,Z,60,0.4,mean_estimand,0.21824137931034482,0.0019021526491722666,0.21468965517241378,0.22194137931034483
design_12,ATE,LM,Y,Z,60,0.4,mean_estimate,0.222986666666666,0.009332648958795299,0.20495149999999934,0.24095166666666587
design_12,ATE,LM,Y,Z,60,0.4,bias,0.004745287356321162,0.009354575331403188,-0.012102810344828213,0.02262718390804524
design_12,ATE,LM,Y,Z,60,0.4,sd_estimate,0.0937793326502338,0.008436147173863779,0.07758032032503917,0.10759944866586785
design_12,ATE,LM,Y,Z,60,0.4,rmse,0.09114390022535267,0.007655473805313597,0.07579391980860481,0.10437069895294587
design_12,ATE,LM,Y,Z,60,0.4,power,0.94,0.022535045658446797,0.89475,0.98525
design_12,ATE,LM,Y,Z,60,0.4,coverage,0.62,0.04679894672042753,0.5195000000000001,0.7
design_12,ATE,PSM ATE,Y,Z,60,0.4,mean_estimand,0.21824137931034482,0.0019021526491722666,0.21468965517241378,0.22194137931034483
design_12,ATE,PSM ATE,Y,Z,60,0.4,mean_estimate,0.22044000000000083,0.010212073398563306,0.19868433333333405,0.241906000000001
design_12,ATE,PSM ATE,Y,Z,60,0.4,bias,0.0021986206896560073,0.010187629923740373,-0.018125988505746427,0.02230911494252976
design_12,ATE,PSM ATE,Y,Z,60,0.4,sd_estimate,0.1029853037797767,0.007655907770078294,0.08644201596791776,0.11550620748640056
design_12,ATE,PSM ATE,Y,Z,60,0.4,rmse,0.10035559826858055,0.007088213957632313,0.08575361029943365,0.11229379035901432
design_12,ATE,PSM ATE,Y,Z,60,0.4,power,0.92,0.028109454177223245,0.86475,0.97525
design_12,ATE,PSM ATE,Y,Z,60,0.4,coverage,0.64,0.04171512333856291,0.57,0.72
